,text_lenght,links,lang_links,titles,sections,back_links,categories
732,767,67,10,24,4,1,8
733,236,37,7,20,0,12,12
734,1104,66,7,31,4,48,8
735,518,28,1,24,2,7,10
736,7666,474,40,14,8,440,55
737,46429,191,15,17,13,8,45
738,175,7,1,16,1,0,4
739,3986,38,2,34,5,2,11
740,487,12,1,28,0,4,6
741,1299,26,2,25,2,17,18
742,997,22,1,12,1,16,14
743,108,4,0,14,0,4,4
744,5795,185,9,25,5,114,18
745,175,7,4,12,0,5,5
746,36262,217,9,21,5,6,11
747,2824,249,1,32,9,126,7
748,858,16,0,20,2,23,9
749,391,14,2,12,1,8,12
750,17317,852,22,27,11,9,33
751,129,4,0,14,0,5,4
752,194,7,2,15,3,5,11
753,0,0,0,12,0,0,0
754,15909,112,3,16,9,87,9
755,1887,23,1,14,5,2,5
756,4143,53,0,21,6,5,18
757,894,253,0,21,1,144,6
758,1135,14,2,20,4,4,16
759,1018,114,9,20,1,5,11
760,7312,640,34,16,10,22,17
761,3185,49,13,22,4,2,33
762,398,40,11,19,0,6,13
763,4405,169,7,24,7,179,25
764,4074,84,10,19,7,27,21
765,38256,219,26,17,12,120,16
766,2689,41,0,20,4,30,11
767,3264,36,8,12,4,39,11
768,854,20,2,4,2,7,7
769,1834,99,1,12,2,7,7
770,6476,236,13,22,6,94,25
771,983,16,0,30,3,6,13
772,1697,159,45,7,5,144,16
773,1856,56,0,29,4,21,4
774,2442,45,10,22,6,49,30
775,31213,273,36,35,12,278,36
776,15865,79,5,17,10,6,7
777,454,9,0,15,2,4,8
778,4828,50,12,12,8,4,18
779,13025,403,2,29,6,121,6
780,1350,55,3,8,0,50,6
781,1816,207,0,36,4,133,11
782,410,38,4,19,1,26,6
783,398,100,3,35,3,97,3
784,14925,130,10,16,7,181,46
785,5063,185,10,13,6,89,11
786,57457,925,20,18,7,59,33
787,2556,923,6,22,5,897,19
788,63364,1334,115,33,15,4,39
789,1068,144,8,20,2,96,30
790,1902,34,4,16,4,8,14
791,5059,279,1,15,5,221,10
792,6741,46,1,56,5,3,14
793,1584,71,1,12,0,44,13
794,11896,557,19,7,14,1284,25
795,2182,37,1,14,2,28,9
796,0,0,0,13,0,0,0
